time,HEAD1,HEAD2,HEAD3,HEAD4,HEAD5,HEAD6,HEAD7,HEAD8,HEAD9,HEAD10,HEAD11,HEAD12
1.000000000000,-0.83179,-0.83159,-0.83142,-0.89680,-0.89524,-0.89409,-0.90991,-0.90867,-0.90772,-0.94814,-0.94672,-0.94564
2.000000000000,-0.83180,-0.83159,-0.83142,-0.90354,-0.89537,-0.89409,-0.91667,-0.90880,-0.90772,-0.96180,-0.94699,-0.94565
3.000000000000,-0.83183,-0.83159,-0.83142,-0.91037,-0.89563,-0.89409,-0.92352,-0.90906,-0.90773,-0.97545,-0.94751,-0.94566
4.000000000000,-0.83187,-0.83160,-0.83142,-0.91714,-0.89602,-0.89411,-0.93030,-0.90945,-0.90774,-0.98894,-0.94829,-0.94568
5.000000000000,-0.83192,-0.83160,-0.83142,-0.92382,-0.89652,-0.89412,-0.93701,-0.90996,-0.90776,-1.0023,-0.94930,-0.94572
6.000000000000,-0.83199,-0.83161,-0.83142,-0.93044,-0.89715,-0.89415,-0.94366,-0.91058,-0.90778,-1.0154,-0.95054,-0.94578
7.000000000000,-0.83207,-0.83161,-0.83142,-0.93698,-0.89788,-0.89419,-0.95024,-0.91132,-0.90782,-1.0284,-0.95200,-0.94585
8.000000000000,-0.83215,-0.83162,-0.83142,-0.94345,-0.89872,-0.89424,-0.95676,-0.91216,-0.90787,-1.0413,-0.95367,-0.94595
9.000000000000,-0.83226,-0.83164,-0.83142,-0.94986,-0.89966,-0.89431,-0.96321,-0.91311,-0.90794,-1.0540,-0.95555,-0.94608
10.00000000000,-0.83237,-0.83165,-0.83142,-0.95620,-0.90070,-0.89438,-0.96961,-0.91416,-0.90802,-1.0666,-0.95762,-0.94624
11.00000000000,-0.83249,-0.83167,-0.83142,-0.96248,-0.90184,-0.89448,-0.97595,-0.91531,-0.90811,-1.0790,-0.95988,-0.94643
